# Index: region

Region, impf_coeff_lin_regionspecific
EU,0.016778919178202237
US,0.013454251728767158
OT,0.016494824209702184
EE,0.01658623965486268
CA,0.014147304068527754
IA,-0.0481564072235601
AF,0.0263144514297549
LA,-0.0154520900667508
