# Index: region

Region, errvarlin_errorvarianceregionspecificlinear
EU,1.45647953703196E-06
US,1.17540217721365E-06
OT,1.29713552663132E-06
EE,0.0000073456019214817
CA,1.90379491584756E-06
IA,0.0000138872652031198
AF,0.0000109584768013328
LA,5.46897526111471E-06
