# Index: region

Region, errvar_errorvarianceregionspecific
EU,3.10613758542331E-07
US,1.7822646375456E-07
OT,2.72474676186948E-07
EE,3.47764499555741E-06
CA,4.18603927809099E-07
IA,0.0000133355008356271
AF,7.16192238837497E-06
LA,5.46580497049857E-06
