# Index: region

Region, impf_coeff_quadr_regionspecific
EU,-6.589588822829189e-4
US,-4.930689164122343e-4
OT,-6.018588172029741e-4
EE,-6.503382557688012e-4
CA,-4.8029953805059963e-4
IA,5.97486118318623e-4
AF,-7.18991611511517e-4
LA,0.790284259362204e-4
